corridor_id,success_rate_7d,latency_ms,cost_score,status,corridor_type,past_retry_success_rate,label
IN_SG,0.58,480,0.96,ACTIVE,primary,0.75,0
IN_SG,0.23,138,0.27,ACTIVE,primary,0.42,1
EU_US,0.86,240,0.66,ACTIVE,primary,0.67,1
IN_EU,0.59,127,0.67,ACTIVE,secondary,0.68,1
IN_EU,0.71,62,0.96,ACTIVE,primary,0.47,0
IN_SG,0.76,351,0.7,ACTIVE,secondary,0.85,1
IN_EU,0.71,466,0.9,ACTIVE,secondary,0.96,1
EU_US,0.21,56,0.35,BLOCKED,primary,0.73,0
EU_IN,0.75,450,0.5,ACTIVE,primary,0.75,0
IN_EU,0.77,201,0.22,ACTIVE,secondary,0.73,1
IN_US,0.52,98,0.11,ACTIVE,secondary,0.51,1
IN_SG,0.39,267,0.23,ACTIVE,primary,0.44,0
EU_US,0.34,457,0.39,ACTIVE,secondary,0.24,0
SG_US,0.79,473,0.64,ACTIVE,secondary,0.31,0
IN_US,0.34,176,0.66,ACTIVE,primary,0.7,1
IN_SG,0.83,341,0.95,ACTIVE,primary,0.92,1
IN_US,0.69,157,0.6,ACTIVE,secondary,0.44,0
IN_EU,0.38,387,0.84,ACTIVE,primary,0.48,0
IN_EU,0.71,327,0.97,BLOCKED,primary,0.74,0
SG_US,0.7,247,0.15,BLOCKED,primary,0.78,0
SG_US,0.82,322,0.35,ACTIVE,primary,0.93,1
SG_US,0.57,498,0.72,ACTIVE,primary,0.38,0
IN_SG,0.7,88,0.12,ACTIVE,primary,0.77,1
IN_US,0.55,362,0.91,ACTIVE,primary,0.35,0
EU_US,0.49,89,0.93,ACTIVE,secondary,0.21,0
EU_IN,0.21,469,0.16,ACTIVE,secondary,0.63,0
EU_IN,0.59,393,0.65,ACTIVE,secondary,0.61,0
EU_US,0.37,55,0.77,ACTIVE,primary,0.97,1
SG_US,0.84,219,0.13,ACTIVE,primary,0.68,1
IN_EU,0.89,484,0.19,ACTIVE,secondary,0.23,1
EU_IN,0.65,334,0.33,BLOCKED,primary,0.3,0
EU_IN,0.25,378,0.67,ACTIVE,secondary,0.48,1
IN_SG,0.69,183,0.83,ACTIVE,secondary,0.78,0
EU_US,0.7,469,0.53,ACTIVE,secondary,0.9,0
IN_SG,0.87,340,0.33,ACTIVE,secondary,0.25,1
SG_US,0.42,258,0.67,ACTIVE,secondary,0.74,1
IN_SG,0.26,55,0.99,ACTIVE,secondary,0.42,0
IN_US,0.77,115,0.77,BLOCKED,secondary,0.64,0
EU_US,0.89,346,0.85,ACTIVE,primary,0.63,1
EU_US,0.44,293,0.66,ACTIVE,secondary,0.52,0
IN_US,0.45,60,0.58,BLOCKED,primary,0.45,0
EU_IN,0.93,225,0.58,ACTIVE,primary,0.56,1
EU_IN,0.51,461,0.82,ACTIVE,primary,0.51,0
EU_IN,0.52,233,0.49,ACTIVE,secondary,0.71,1
EU_IN,0.47,289,0.48,ACTIVE,secondary,0.75,1
SG_US,0.8,317,0.18,ACTIVE,secondary,0.6,0
IN_SG,0.77,356,0.26,ACTIVE,secondary,0.35,1
IN_EU,0.71,194,0.75,ACTIVE,primary,0.57,1
SG_US,0.95,122,0.82,ACTIVE,primary,0.67,0
IN_SG,0.4,294,0.14,ACTIVE,primary,0.67,1
SG_US,0.82,158,0.96,ACTIVE,secondary,0.85,0
EU_US,0.9,172,0.65,BLOCKED,primary,0.39,0
IN_EU,0.27,186,0.86,ACTIVE,secondary,0.54,0
EU_IN,0.67,155,0.85,BLOCKED,primary,0.61,0
SG_US,0.54,357,0.54,ACTIVE,primary,0.89,0
EU_IN,0.93,457,0.13,BLOCKED,secondary,0.78,1
EU_IN,0.73,445,0.48,ACTIVE,primary,0.24,1
IN_SG,0.66,207,0.33,ACTIVE,secondary,0.79,1
IN_SG,0.33,201,0.6,ACTIVE,primary,0.7,0
IN_SG,0.44,197,0.91,BLOCKED,primary,0.44,0
IN_EU,0.76,60,0.61,ACTIVE,primary,0.89,0
IN_EU,0.27,227,0.71,ACTIVE,secondary,0.52,0
SG_US,0.73,96,0.25,BLOCKED,primary,0.36,0
IN_SG,0.61,80,0.49,ACTIVE,secondary,0.25,0
IN_EU,0.74,80,0.26,ACTIVE,primary,0.52,1
EU_IN,0.37,273,0.95,ACTIVE,primary,0.72,0
IN_US,0.9,99,0.35,BLOCKED,secondary,0.84,0
IN_US,0.95,374,0.23,ACTIVE,secondary,0.45,1
IN_EU,0.63,412,0.81,ACTIVE,primary,0.59,0
SG_US,0.25,405,0.27,ACTIVE,secondary,0.35,0
SG_US,0.66,182,0.29,ACTIVE,primary,0.37,0
EU_US,0.2,345,0.16,ACTIVE,primary,0.26,0
EU_US,0.21,380,0.56,ACTIVE,primary,0.8,0
IN_US,0.85,226,0.19,ACTIVE,secondary,0.42,1
SG_US,0.45,117,0.97,ACTIVE,primary,0.29,1
IN_US,0.8,287,0.26,ACTIVE,secondary,0.57,1
EU_IN,0.79,429,0.27,ACTIVE,primary,0.52,1
IN_US,0.93,86,0.73,ACTIVE,primary,0.62,1
IN_SG,0.26,131,0.55,ACTIVE,secondary,0.59,1
EU_US,0.82,92,0.39,ACTIVE,primary,0.74,1
EU_IN,0.37,449,0.26,ACTIVE,secondary,0.97,1
EU_IN,0.69,80,0.81,ACTIVE,secondary,0.42,1
EU_US,0.91,487,0.98,ACTIVE,secondary,0.72,0
EU_US,0.48,295,0.71,ACTIVE,primary,0.82,0
SG_US,0.59,400,0.29,BLOCKED,secondary,0.62,0
IN_SG,0.65,299,0.96,BLOCKED,primary,0.8,0
SG_US,0.59,171,0.17,ACTIVE,secondary,0.56,1
EU_US,0.85,241,0.19,ACTIVE,secondary,0.57,1
EU_US,0.39,149,0.54,ACTIVE,primary,0.66,0
EU_US,0.63,376,0.87,ACTIVE,secondary,0.98,0
EU_IN,0.53,481,0.58,BLOCKED,primary,0.3,0
EU_IN,0.5,123,0.17,BLOCKED,secondary,0.25,0
SG_US,0.55,210,0.11,BLOCKED,primary,0.8,0
IN_SG,0.83,223,0.49,ACTIVE,secondary,0.5,1
IN_US,0.57,178,0.26,ACTIVE,secondary,0.78,0
IN_US,0.75,91,0.12,BLOCKED,primary,0.21,1
EU_IN,0.65,494,0.78,ACTIVE,primary,0.94,0
IN_SG,0.68,392,0.82,ACTIVE,primary,0.66,0
EU_US,0.72,432,0.81,ACTIVE,primary,0.94,0
