ACTION_ID,VALUE,MEMBERSHIP_LEVEL,CREATION_TIMESTAMP
ACTION_0001,5941,,1726275706016
ACTION_0002,5207,Bronze,1727230672687
ACTION_0003,1993,Gold,1749856094332
ACTION_0004,5497,Gold,1738609287791
ACTION_0005,9843,Platinum,1730692444646
ACTION_0006,,Silver,1740085401264
ACTION_0007,3206,Gold,1732869449910
ACTION_0008,,Gold,1721635436399
ACTION_0009,2560,,1739072985783
ACTION_0010,8334,Silver,1735411604822
ACTION_0011,995,Platinum,1729225358443
ACTION_0012,5233,Gold,1736045796818
ACTION_0013,1595,Silver,1740968643868
ACTION_0014,,Gold,1749404071568
ACTION_0015,2074,Bronze,1734263326459
ACTION_0016,2605,Bronze,1740787561055
ACTION_0017,1854,Gold,1737428364553
ACTION_0018,7031,Silver,1730123529703
ACTION_0019,,Silver,1731460493045
ACTION_0020,5725,Platinum,1724044037998
ACTION_0021,651,Bronze,1732658527503
ACTION_0022,5499,Gold,1720922385035
ACTION_0023,1777,Bronze,1727809768716
ACTION_0024,1517,Gold,1749145517556
ACTION_0025,5352,Platinum,1738692785738
ACTION_0026,6786,Platinum,1743187602971
ACTION_0027,,Platinum,1749807825365
ACTION_0028,6690,Bronze,1725666337355
ACTION_0029,2471,Silver,1720044163196
ACTION_0030,,Gold,1726020112744
ACTION_0031,5229,Silver,1747283558730
ACTION_0032,,Silver,1728761750142
ACTION_0033,1156,Bronze,1750338633915
ACTION_0034,7412,Platinum,1733167074479
ACTION_0035,1450,Gold,1741031762776
ACTION_0036,,,1748532736858
ACTION_0037,6720,Gold,1718970962018
ACTION_0038,8053,Bronze,1738512065153
ACTION_0039,9793,Bronze,1743480018286
ACTION_0040,6651,,1731735045000
ACTION_0041,1341,Gold,1732793598747
ACTION_0042,8605,Platinum,1727477990412
ACTION_0043,3688,Silver,1722348836015
ACTION_0044,9853,,1719596446695
ACTION_0045,7753,,1747443209152
ACTION_0046,8507,Silver,1732506695354
ACTION_0047,6699,,1746703240292
ACTION_0048,4510,Bronze,1735487085119
ACTION_0049,4694,,1737885840883
ACTION_0050,1421,Silver,1719731967494
ACTION_0051,5508,Platinum,1734977324577
ACTION_0052,7508,Gold,1739027900527
ACTION_0053,5000,Silver,1748637920983
ACTION_0054,5521,Bronze,1742189698158
ACTION_0055,,Silver,1748418094143
ACTION_0056,,Silver,1732104645363
ACTION_0057,,Bronze,1733216569700
ACTION_0058,1417,Platinum,1724930151094
ACTION_0059,,Platinum,1737922136477
ACTION_0060,8256,Bronze,1748298964074
ACTION_0061,3637,Bronze,1748322287769
ACTION_0062,,Silver,1736885777450
ACTION_0063,1311,Gold,1741656337393
ACTION_0064,5488,Gold,1719585444691
ACTION_0065,6158,Gold,1720091530118
ACTION_0066,2774,Gold,1736168247317
ACTION_0067,8871,Silver,1744355347924
ACTION_0068,,Gold,1726078665416
ACTION_0069,5973,Platinum,1730170985817
