user_id,age,account_tier,loyalty_score
user_0001,47,Gold,0.98
user_0002,55,Platinum,0.01
user_0003,42,Gold,0.24
user_0004,39,Gold,0.94
user_0005,78,Gold,0.33
user_0006,31,Gold,0.09
user_0007,47,Platinum,0.49
user_0008,77,Gold,0.65
user_0009,31,Platinum,0.99
user_0010,23,Silver,0.62
user_0011,44,Silver,0.56
user_0012,18,Gold,0.87
user_0013,50,Platinum,0.37
user_0014,59,Platinum,0.2
user_0015,53,Silver,0.09
user_0016,77,Platinum,0.24
user_0017,31,Silver,0.4
user_0018,73,Platinum,0.23
user_0019,35,Platinum,0.26
user_0020,76,Gold,0.8
user_0021,75,Silver,0.73
user_0022,51,Silver,0.94
user_0023,53,Silver,0.23
user_0024,61,Gold,0.26
user_0025,18,Silver,0.3
user_0026,33,Gold,0.13
user_0027,73,Platinum,0.88
user_0028,33,Silver,0.19
user_0029,35,Gold,0.49
user_0030,61,Platinum,0.62
user_0031,23,Platinum,0.1
user_0032,54,Silver,0.72
user_0033,67,Silver,0.69
user_0034,22,Gold,0.32
user_0035,32,Silver,0.91
user_0036,28,Silver,0.54
user_0037,39,Silver,0.36
user_0038,63,Gold,0.88
user_0039,19,Gold,0.7
user_0040,18,Gold,0.83
user_0041,74,Gold,0.69
user_0042,55,Silver,0.6
user_0043,30,Platinum,0.97
user_0044,40,Platinum,0.46
user_0045,36,Gold,0.9
user_0046,26,Silver,0.09
user_0047,71,Gold,0.27
user_0048,72,Silver,0.76
user_0049,28,Platinum,0.08
user_0050,49,Gold,0.37
user_0051,55,Silver,0.44
user_0052,23,Platinum,0.29
user_0053,41,Silver,0.7
user_0054,22,Silver,0.28
user_0055,76,Platinum,0.45
user_0056,39,Platinum,0.79
user_0057,42,Gold,0.26
user_0058,44,Gold,0.1
user_0059,70,Gold,0.16
user_0060,64,Gold,0.72
user_0061,45,Platinum,0.41
user_0062,55,Platinum,0.29
user_0063,27,Platinum,0.65
user_0064,76,Gold,0.82
user_0065,32,Platinum,0.06
user_0066,42,Silver,0.08
user_0067,54,Platinum,0.16
user_0068,44,Silver,0.78
user_0069,55,Platinum,0.98
user_0070,35,Silver,0.98
user_0071,75,Gold,0.73
user_0072,32,Gold,0.88
user_0073,57,Gold,0.9
user_0074,57,Silver,0.22
user_0075,45,Platinum,0.12
user_0076,38,Silver,0.82
user_0077,46,Gold,0.74
user_0078,28,Gold,0.26
user_0079,59,Silver,0.54
user_0080,34,Silver,0.13
user_0081,70,Gold,0.24
user_0082,75,Platinum,0.98
user_0083,71,Silver,0.46
user_0084,39,Silver,0.33
user_0085,60,Platinum,0.5
user_0086,39,Silver,0.69
user_0087,58,Gold,0.9
user_0088,34,Platinum,0.62
user_0089,19,Silver,0.81
user_0090,31,Platinum,0.59
user_0091,66,Silver,0.44
user_0092,79,Platinum,0.99
user_0093,45,Platinum,0.04
user_0094,41,Silver,0.75
user_0095,23,Platinum,0.08
user_0096,37,Platinum,0.31
user_0097,35,Platinum,0.75
user_0098,53,Silver,0.62
user_0099,47,Platinum,0.7
user_0100,63,Platinum,0.44
user_0101,49,Gold,0.32
user_0102,35,Gold,0.95
user_0103,47,Silver,0.84
user_0104,67,Silver,0.03
user_0105,54,Gold,0.57
user_0106,48,Silver,0.6
user_0107,51,Silver,0.04
user_0108,32,Platinum,0.85
user_0109,64,Platinum,0.84
user_0110,39,Platinum,0.29
user_0111,35,Gold,0.52
user_0112,34,Silver,0.77
user_0113,75,Gold,0.27
user_0114,58,Silver,0.57
user_0115,25,Gold,0.42
user_0116,23,Silver,0.23
user_0117,50,Gold,0.95
user_0118,26,Gold,0.9
user_0119,55,Platinum,0.89
user_0120,43,Platinum,0.14
user_0121,20,Silver,0.86
user_0122,34,Gold,0.79
user_0123,75,Gold,0.95
user_0124,37,Platinum,0.77
user_0125,70,Platinum,0.46
user_0126,19,Silver,0.43
user_0127,43,Silver,0.59
user_0128,72,Gold,0.44
user_0129,34,Platinum,0.38
user_0130,22,Gold,0.17
user_0131,46,Platinum,0.81
user_0132,22,Gold,0.46
user_0133,63,Gold,0.84
user_0134,23,Silver,0.19
user_0135,60,Platinum,0.28
user_0136,27,Silver,0.22
user_0137,71,Silver,0.62
user_0138,60,Gold,0.04
user_0139,60,Platinum,0.91
user_0140,23,Platinum,0.66
user_0141,37,Gold,0.31
user_0142,19,Platinum,0.07
user_0143,34,Silver,0.99
user_0144,70,Silver,0.97
user_0145,64,Gold,0.75
user_0146,26,Platinum,0.69
user_0147,21,Silver,0.99
user_0148,79,Platinum,0.58
user_0149,28,Platinum,0.1
user_0150,27,Platinum,0.35
user_0151,58,Silver,0.08
user_0152,69,Platinum,0.76
user_0153,53,Silver,0.18
user_0154,21,Platinum,0.37
user_0155,18,Gold,0.66
user_0156,65,Platinum,0.5
user_0157,55,Silver,0.59
user_0158,30,Gold,0.91
user_0159,26,Gold,0.04
user_0160,38,Gold,0.61
user_0161,68,Silver,0.67
user_0162,69,Platinum,0.34
user_0163,39,Silver,0.37
user_0164,51,Gold,0.07
user_0165,60,Silver,0.36
user_0166,35,Silver,0.27
user_0167,40,Platinum,0.44
user_0168,37,Gold,0.31
user_0169,32,Silver,0.02
user_0170,44,Silver,0.04
user_0171,28,Silver,0.35
user_0172,72,Silver,0.13
user_0173,32,Platinum,0.38
user_0174,63,Platinum,0.38
user_0175,23,Silver,1.0
user_0176,65,Silver,0.95
user_0177,69,Silver,0.96
user_0178,78,Silver,0.93
user_0179,22,Platinum,0.2
user_0180,31,Silver,0.75
user_0181,77,Silver,0.99
user_0182,29,Gold,0.82
user_0183,46,Gold,0.7
user_0184,42,Platinum,0.02
user_0185,69,Gold,0.93
user_0186,57,Silver,0.43
user_0187,79,Platinum,0.29
user_0188,61,Gold,0.37
user_0189,54,Gold,0.97
user_0190,47,Silver,0.63
user_0191,64,Silver,0.88
user_0192,72,Platinum,0.76
user_0193,25,Gold,0.29
user_0194,75,Platinum,0.22
user_0195,55,Silver,1.0
user_0196,41,Gold,0.37
user_0197,74,Platinum,0.71
user_0198,30,Silver,0.85
user_0199,72,Silver,0.07
user_0200,58,Platinum,0.6
user_0201,70,Silver,0.55
user_0202,45,Platinum,0.79
user_0203,62,Gold,0.07
user_0204,71,Silver,0.03
user_0205,73,Platinum,0.93
user_0206,25,Gold,0.37
user_0207,25,Silver,0.88
user_0208,50,Platinum,0.84
user_0209,63,Platinum,0.94
user_0210,72,Platinum,0.63
user_0211,56,Silver,0.53
user_0212,60,Platinum,0.94
user_0213,30,Gold,0.6
user_0214,44,Platinum,0.85
user_0215,21,Platinum,0.64
user_0216,62,Silver,0.76
user_0217,74,Silver,0.04
user_0218,36,Silver,0.35
user_0219,39,Platinum,0.83
user_0220,36,Silver,0.99
user_0221,22,Silver,0.8
user_0222,66,Platinum,0.43
user_0223,29,Silver,0.09
user_0224,31,Silver,0.01
user_0225,74,Gold,0.0
user_0226,63,Gold,0.73
user_0227,32,Platinum,0.47
user_0228,27,Platinum,0.17
user_0229,22,Gold,0.56
user_0230,43,Platinum,0.53
user_0231,60,Gold,0.39
user_0232,18,Platinum,0.08
user_0233,34,Gold,0.99
user_0234,59,Gold,0.07
user_0235,52,Silver,0.48
user_0236,41,Silver,0.5
user_0237,28,Platinum,0.39
user_0238,49,Silver,0.75
user_0239,54,Gold,0.83
user_0240,55,Gold,0.3
user_0241,48,Gold,0.05
user_0242,33,Silver,0.84
user_0243,50,Gold,0.24
user_0244,56,Platinum,0.18
user_0245,32,Silver,0.27
user_0246,79,Platinum,0.27
user_0247,76,Platinum,0.66
user_0248,65,Silver,0.64
user_0249,37,Platinum,0.51
user_0250,48,Silver,0.56
user_0251,56,Silver,0.48
user_0252,47,Gold,0.84
user_0253,59,Silver,0.4
user_0254,23,Gold,0.25
user_0255,22,Gold,0.18
user_0256,64,Gold,0.15
user_0257,38,Gold,0.95
user_0258,50,Platinum,0.25
user_0259,57,Gold,0.67
user_0260,39,Silver,0.49
user_0261,63,Silver,0.9
user_0262,75,Platinum,0.62
user_0263,71,Silver,0.09
user_0264,41,Silver,0.32
user_0265,79,Gold,0.25
user_0266,33,Platinum,0.71
user_0267,76,Platinum,0.93
user_0268,73,Gold,0.54
user_0269,76,Platinum,0.36
user_0270,64,Gold,0.9
user_0271,22,Platinum,0.36
user_0272,40,Silver,0.31
user_0273,66,Gold,0.92
user_0274,65,Gold,0.13
user_0275,62,Silver,0.79
user_0276,27,Silver,0.45
user_0277,42,Silver,0.5
user_0278,21,Silver,0.95
user_0279,47,Gold,0.11
user_0280,70,Silver,0.63
user_0281,71,Silver,0.45
user_0282,23,Gold,0.18
user_0283,40,Platinum,0.15
user_0284,53,Platinum,0.89
user_0285,57,Gold,0.7
user_0286,47,Platinum,0.57
user_0287,34,Gold,0.26
user_0288,36,Silver,0.33
user_0289,51,Platinum,0.16
user_0290,25,Platinum,0.08
user_0291,44,Platinum,0.43
user_0292,70,Platinum,0.96
user_0293,72,Platinum,0.21
user_0294,75,Silver,0.9
user_0295,37,Gold,0.68
user_0296,40,Gold,0.79
